------------------------------------------------------------------------------------------------------------------------------------------
Epoch:1/500, avg validating MSE: 0.000000
Epoch:2/500, avg validating MSE: 0.000000
Epoch:3/500, avg validating MSE: 0.000000
Epoch:4/500, avg validating MSE: 0.000000
Epoch:5/500, avg validating MSE: 0.000000
Epoch:6/500, avg validating MSE: 0.000000
Epoch:7/500, avg validating MSE: 0.000000
Epoch:8/500, avg validating MSE: 0.000000
Epoch:9/500, avg validating MSE: 0.000000
Epoch:10/500, avg validating MSE: 0.000000
Epoch:11/500, avg validating MSE: 0.000000
Epoch:12/500, avg validating MSE: 0.000000
Epoch:13/500, avg validating MSE: 0.000000
Epoch:14/500, avg validating MSE: 0.000000
Epoch:15/500, avg validating MSE: 0.000000
Epoch:16/500, avg validating MSE: 0.000000
Epoch:17/500, avg validating MSE: 0.000000
Epoch:18/500, avg validating MSE: 0.000000
Epoch:19/500, avg validating MSE: 0.000000
Epoch:20/500, avg validating MSE: 0.000000
Epoch:21/500, avg validating MSE: 0.000000
Epoch:22/500, avg validating MSE: 0.000000
Epoch:23/500, avg validating MSE: 0.000000
Epoch:24/500, avg validating MSE: 0.000000
Epoch:25/500, avg validating MSE: 0.000000
Epoch:26/500, avg validating MSE: 0.000000
Epoch:27/500, avg validating MSE: 0.000000
Epoch:28/500, avg validating MSE: 0.000000
Epoch:29/500, avg validating MSE: 0.000000
Epoch:30/500, avg validating MSE: 0.000000
Epoch:31/500, avg validating MSE: 0.000000
Epoch:32/500, avg validating MSE: 0.000000
Epoch:33/500, avg validating MSE: 0.000000
Epoch:34/500, avg validating MSE: 0.000000
Epoch:35/500, avg validating MSE: 0.000000
Epoch:36/500, avg validating MSE: 0.000000
Epoch:37/500, avg validating MSE: 0.000000
Epoch:38/500, avg validating MSE: 0.000000
Epoch:39/500, avg validating MSE: 0.000000
Epoch:40/500, avg validating MSE: 0.000000
Epoch:41/500, avg validating MSE: 0.000000
Epoch:42/500, avg validating MSE: 0.000000
Epoch:43/500, avg validating MSE: 0.000000
Epoch:44/500, avg validating MSE: 0.000000
Epoch:45/500, avg validating MSE: 0.000000
Epoch:46/500, avg validating MSE: 0.000000
Epoch:47/500, avg validating MSE: 0.000000
Epoch:48/500, avg validating MSE: 0.000000
Epoch:49/500, avg validating MSE: 0.000000
Epoch:50/500, avg validating MSE: 0.000000
Epoch:51/500, avg validating MSE: 0.000000
Epoch:52/500, avg validating MSE: 0.000000
Epoch:53/500, avg validating MSE: 0.000000
Epoch:54/500, avg validating MSE: 0.000000
Epoch:55/500, avg validating MSE: 0.000000
Epoch:56/500, avg validating MSE: 0.000000
Epoch:57/500, avg validating MSE: 0.000000
Epoch:58/500, avg validating MSE: 0.000000
Epoch:59/500, avg validating MSE: 0.000000
Epoch:60/500, avg validating MSE: 0.000000
Epoch:61/500, avg validating MSE: 0.000000
Epoch:62/500, avg validating MSE: 0.000000
Epoch:63/500, avg validating MSE: 0.000000
Epoch:64/500, avg validating MSE: 0.000000
Epoch:65/500, avg validating MSE: 0.000000
Epoch:66/500, avg validating MSE: 0.000000
Epoch:67/500, avg validating MSE: 0.000000
Epoch:68/500, avg validating MSE: 0.000000
Epoch:69/500, avg validating MSE: 0.000000
Epoch:70/500, avg validating MSE: 0.000000
Epoch:71/500, avg validating MSE: 0.000000
Epoch:72/500, avg validating MSE: 0.000000
Epoch:73/500, avg validating MSE: 0.000000
Epoch:74/500, avg validating MSE: 0.000000
Epoch:75/500, avg validating MSE: 0.000000
Epoch:76/500, avg validating MSE: 0.000000
Epoch:77/500, avg validating MSE: 0.000000
Epoch:78/500, avg validating MSE: 0.000000
Epoch:79/500, avg validating MSE: 0.000000
Epoch:80/500, avg validating MSE: 0.000000
Epoch:81/500, avg validating MSE: 0.000000
Epoch:82/500, avg validating MSE: 0.000000
Epoch:83/500, avg validating MSE: 0.000000
Epoch:84/500, avg validating MSE: 0.000000
Epoch:85/500, avg validating MSE: 0.000000
Epoch:86/500, avg validating MSE: 0.000000
Epoch:87/500, avg validating MSE: 0.000000
Epoch:88/500, avg validating MSE: 0.000000
Epoch:89/500, avg validating MSE: 0.000000
Epoch:90/500, avg validating MSE: 0.000000
Epoch:91/500, avg validating MSE: 0.000000
Epoch:92/500, avg validating MSE: 0.000000
Epoch:93/500, avg validating MSE: 0.000000
Epoch:94/500, avg validating MSE: 0.000000
Epoch:95/500, avg validating MSE: 0.000000
Epoch:96/500, avg validating MSE: 0.000000
Epoch:97/500, avg validating MSE: 0.000000
Epoch:98/500, avg validating MSE: 0.000000
Epoch:99/500, avg validating MSE: 0.000000
Epoch:100/500, avg validating MSE: 0.000000
Epoch:101/500, avg validating MSE: 0.000000
Epoch:102/500, avg validating MSE: 0.000000
Epoch:103/500, avg validating MSE: 0.000000
Epoch:104/500, avg validating MSE: 0.000000
Epoch:105/500, avg validating MSE: 0.000000
Epoch:106/500, avg validating MSE: 0.000000
Epoch:107/500, avg validating MSE: 0.000000
Epoch:108/500, avg validating MSE: 0.000000
Epoch:109/500, avg validating MSE: 0.000000
Epoch:110/500, avg validating MSE: 0.000000
Epoch:111/500, avg validating MSE: 0.000000
Epoch:112/500, avg validating MSE: 0.000000
Epoch:113/500, avg validating MSE: 0.000000
Epoch:114/500, avg validating MSE: 0.000000
Epoch:115/500, avg validating MSE: 0.000000
Epoch:116/500, avg validating MSE: 0.000000
Epoch:117/500, avg validating MSE: 0.000000
Epoch:118/500, avg validating MSE: 0.000000
Epoch:119/500, avg validating MSE: 0.000000
Epoch:120/500, avg validating MSE: 0.000000
Epoch:121/500, avg validating MSE: 0.000000
Epoch:122/500, avg validating MSE: 0.000000
Epoch:123/500, avg validating MSE: 0.000000
Epoch:124/500, avg validating MSE: 0.000000
Epoch:125/500, avg validating MSE: 0.000000
Epoch:126/500, avg validating MSE: 0.000000
Epoch:127/500, avg validating MSE: 0.000000
Epoch:128/500, avg validating MSE: 0.000000
Epoch:129/500, avg validating MSE: 0.000000
Epoch:130/500, avg validating MSE: 0.000000
Epoch:131/500, avg validating MSE: 0.000000
Epoch:132/500, avg validating MSE: 0.000000
Epoch:133/500, avg validating MSE: 0.000000
Epoch:134/500, avg validating MSE: 0.000000
Epoch:135/500, avg validating MSE: 0.000000
Epoch:136/500, avg validating MSE: 0.000000
Epoch:137/500, avg validating MSE: 0.000000
Epoch:138/500, avg validating MSE: 0.000000
Epoch:139/500, avg validating MSE: 0.000000
Epoch:140/500, avg validating MSE: 0.000000
Epoch:141/500, avg validating MSE: 0.000000
Epoch:142/500, avg validating MSE: 0.000000
Epoch:143/500, avg validating MSE: 0.000000
Epoch:144/500, avg validating MSE: 0.000000
Epoch:145/500, avg validating MSE: 0.000000
Epoch:146/500, avg validating MSE: 0.000000
Epoch:147/500, avg validating MSE: 0.000000
Epoch:148/500, avg validating MSE: 0.000000
Epoch:149/500, avg validating MSE: 0.000000
Epoch:150/500, avg validating MSE: 0.000000
Epoch:151/500, avg validating MSE: 0.000000
Epoch:152/500, avg validating MSE: 0.000000
Epoch:153/500, avg validating MSE: 0.000000
Epoch:154/500, avg validating MSE: 0.000000
Epoch:155/500, avg validating MSE: 0.000000
Epoch:156/500, avg validating MSE: 0.000000
